customer_tweet_id,customer_text,amazon_response,intent,should_escalate,label_notes
128075,@AmazonHelp Intimate me the exact date at ur ease in this platform #digitalmafia  @115821 @115830 @117634 @116618 @116935 @1141 @115851 @144777 @120844 @132458 @127586 @144770 @4211 @144772 @144778 @4871 @144773,@144768 This being a social platform we cannot access your Amazon account details. Request you to please give us some time and we'll respond to you at the earliest on your registered email ID. ^SF,general_information,TRUE,
102899,@AmazonHelp Ohkkkk but i m waiting so plese do fast,@138633 We get you're excited about the results. We're on it and your wait will be over soon. ^SY,delivery_delay,TRUE,
25910,@AmazonHelp No Not Again. I have written it at least thrice by now...and narrated the same over my phone call...not again. You go and read. Why did you not alert me before deducting the pay balance??? @115851 #amazonsucks,"@121656 Twitter being a public platform we do not have access to your account details, please reply to the email for better insight of the issue. ^SI",payment_billing,TRUE,
31842,@AmazonHelp i called customer care this morning and the rep doesnt even know and blurts out information without even knowing what customer asking for,"@123028 My apologies about the hassle, Sidharth. Please fill this form: https://t.co/beaaDm0muc and we’ll contact you soon. ^NK",other_unclear,TRUE,
161995,Hoy a la noche a dejarme un riñón en @115821,"@153400 ¡Hola, Julio! Cuéntanos, ¿qué productos quieres comprar en nuestro sitio?. 🤔 ^NB",other_unclear,TRUE,
142946,"🙏PLZ RETWEET PPL HELP ME🙏as @120169 @133929 @AmazonHelp @115821 have taken my money&amp;have literally turned their backs on me,have no other option to bring this to attention of how badly customers r treated n left to fend for themselves after payments made,this is atrocious😩 https://t.co/yfs0KRT19W","@147812 Please don't provide your tracking details, we consider it to be personal information. Our page is visible to the public. 2/2 ^HS",payment_billing,TRUE,
35935,"@AmazonHelp I’m not sure, I ordered it at 8am this morning with 1 day shipping. I just got the email saying I will get an email when it’s been shipped","@123816 2/2 For details on how shipping and delivery dates are calculated, please see here: https://t.co/zGyLuHMPgq ^CO",delivery_delay,TRUE,
144164,Hey @115850 Will exchange offer be available for one plus 5T like it did for one plus 5?? @132994 @139570,"@148571 We haven't made any announcement on the same at the moment. However, I'll ensure to share your comment internally to work on. ^CB",general_information,FALSE,
138114,@115821 pathetic customer service from Amazon India. Richa Mishra trying to get our prime membership reinstate. NO Help!!!!!.,@147112 You seem upset. Could you elaborate your concern? We'd like to help. ^MO,prime_membership,TRUE,
49147,@115850 @AmazonHelp Ordered #oneplus5 on 21oct wid #amazonprime 1day delivery. Not received yet. #frustrating #CustomerExperience https://t.co/TyH8blX6qk,@126980 I apologize for the delay in delivery. Kindly report this to our support team here:  https://t.co/rS49hgaADF ^VH,delivery_delay,TRUE,
